id,lon,lat,stationType
373,-99.166663,19.377968,BIKE
374,-99.161116,19.376964,"BIKE,TPV"
375,-99.158818,19.376865,BIKE
376,-99.161595,19.375442,BIKE
377,-99.16375,19.375394,BIKE
378,-99.168076,19.375823,BIKE
379,-99.17084,19.375751,BIKE
380,-99.173512,19.374876,BIKE
381,-99.177894,19.375541,BIKE
382,-99.178084,19.375591,BIKE
383,-99.181527,19.375764,BIKE
384,-99.185583,19.375873,BIKE
385,-99.18558,19.375651,"BIKE,TPV"
386,-99.185846,19.37484,BIKE
387,-99.18050556,19.37455556,BIKE
388,-99.181355,19.373038,BIKE
389,-99.179356,19.373528,BIKE
390,-99.17826,19.373228,"BIKE,TPV"
391,-99.178283,19.373142,BIKE
392,-99.1747749,19.3730067,BIKE
393,-99.172558,19.372796,"BIKE,TPV"
394,-99.171592,19.372437,BIKE
395,-99.169814,19.373742,BIKE
396,-99.170187,19.371554,BIKE
397,-99.167247,19.373194,BIKE
398,-99.16566,19.37103,BIKE
399,-99.164519,19.372407,BIKE
400,-99.1642743,19.3726458,BIKE
401,-99.16158,19.372147,BIKE
402,-99.1587223,19.3709452,BIKE
403,-99.158639,19.371371,BIKE
404,-99.157387,19.373813,BIKE
405,-99.156626,19.370619,BIKE
406,-99.160725,19.369201,BIKE
407,-99.158694,19.367294,BIKE
408,-99.156843,19.36677,BIKE
409,-99.155499,19.365102,BIKE
410,-99.158063,19.36564,BIKE
411,-99.163626,19.367864,BIKE
412,-99.1654145,19.3684182,"BIKE,TPV"
413,-99.171906,19.369782,BIKE
414,-99.173712,19.370187,BIKE
415,-99.17602,19.371498,BIKE
416,-99.177607,19.371308,BIKE
417,-99.184333,19.373262,"BIKE,TPV"
418,-99.183034,19.371152,BIKE
419,-99.181502,19.370606,BIKE
420,-99.17964,19.369723,BIKE
421,-99.179401,19.369467,BIKE
422,-99.177487,19.368356,BIKE
423,-99.175342,19.367631,BIKE
424,-99.170531,19.367208,BIKE
425,-99.16741,19.367087,BIKE
426,-99.166017,19.365519,BIKE
427,-99.162993,19.365023,BIKE
428,-99.160353,19.363418,BIKE
429,-99.158292,19.363071,BIKE
430,-99.154974,19.362139,BIKE
431,-99.15822,19.36145,BIKE
432,-99.162025,19.359655,BIKE
433,-99.16713044,19.36376111,BIKE
434,-99.17149,19.36375,"BIKE,TPV"
435,-99.177819,19.366217,BIKE
436,-99.177819,19.366217,BIKE
437,-99.17602222,19.36480833,BIKE
438,-99.17458333,19.36479722,BIKE
439,-99.17246667,19.36218889,BIKE
440,-99.168669,19.36065,BIKE
441,-99.167527,19.361215,BIKE
442,-99.1653,19.359905,"BIKE,TPV"
443,-99.162581,19.361296,BIKE
444,-99.159425,19.359384,BIKE
445,-99.156105,19.35827,BIKE
446,-99.1561282,19.3591196,"BIKE,TPV"
